brand,name,latitude,longitude,address,place_id,rating,user_ratings_total,geometry,index_right,population,city
Krispy Kreme,Poppy's Donuts,36.1586098,-115.1663126,"1811 W Charleston Blvd #1, Las Vegas",ChIJc3U0xuzDyIARv_lC7EsWGfo,4.7,500.0,POINT (-115.1663126 36.1586098),7,,las vegas
Krispy Kreme,Winchell's Donut House,36.1005374,-115.0740609,"4580 E Tropicana Ave, Las Vegas",ChIJ20bJjb7ayIARNntg-MZaHtM,4.2,739.0,POINT (-115.0740609 36.1005374),7,,las vegas
Krispy Kreme,Donut Tyme,36.1592783,-115.082164,"4268 E Charleston Blvd, Las Vegas",ChIJrel49lnbyIARpssk-DIe9yg,4.7,1069.0,POINT (-115.082164 36.1592783),7,,las vegas
Krispy Kreme,Glaze Doughnuts,36.0697188,-115.2987048,"6545 S Fort Apache Rd #130, Las Vegas",ChIJu1fngmO4yIARlkFNzFwurNA,4.6,386.0,POINT (-115.2987048 36.0697188),7,,las vegas
Krispy Kreme,Pinkbox Doughnuts,36.0996613,-115.2998755,"9435 W Tropicana Ave, Las Vegas",ChIJC9Yhg7y4yIARnMZkByOEV8s,4.5,1242.0,POINT (-115.2998755 36.0996613),7,,las vegas
Krispy Kreme,Wicked Donuts,36.2066307,-115.3036303,"9490 W Lake Mead Blvd, Las Vegas",ChIJnU1a7a6VyIARrWvN1JKnTDE,4.4,414.0,POINT (-115.3036303 36.2066307),7,,las vegas
Krispy Kreme,Dee's Donuts,36.2776149,-115.2886995,"6401 N Durango Dr #150, Las Vegas",ChIJ6xIBNKqUyIARChe7-Alkck8,4.6,1103.0,POINT (-115.2886995 36.2776149),7,,las vegas
Krispy Kreme,Dunkin',36.23914329999999,-115.1488876,"545 W Craig Rd, North Las Vegas",ChIJ0Ra7NvPpyIARp2whAOoZOm8,3.7,436.0,POINT (-115.1488876 36.23914329999999),7,,las vegas
Krispy Kreme,Ronald's Donuts,36.1265306,-115.2042253,"4600 Spring Mountain Rd, Las Vegas",ChIJ-b9fgrDGyIARTG3xZcHwWtE,4.7,1102.0,POINT (-115.2042253 36.1265306),7,,las vegas
Krispy Kreme,Winchell's,36.1282786,-115.225279,"3307 S Jones Blvd, Las Vegas",ChIJ9-ZffNLGyIARalo82lxT2wg,4.5,554.0,POINT (-115.225279 36.1282786),7,,las vegas
