dbscan_cluster,avg_rating,avg_reviews,total_locations,top_brand,starbucks_count,centroid_latitude,centroid_longitude,centroid_latitude,centroid_longitude,starbucks_absence,expansion_score
56,4.294444444444444,850.5833333333334,36,Apple,0.0,33.51271102222222,-112.028357325,33.51271102222222,-112.028357325,1,139.76111111111112
38,3.9958333333333336,679.59375,86,Panera Bread,0.0,41.829716765625,-87.66931044270832,41.829716765625,-87.66931044270832,1,129.03802083333335
11,4.057471264367816,628.4137931034483,87,Target,20.0,32.866562512643675,-96.77953433793104,32.866562512643675,-96.77953433793104,0,121.37643678160919
52,4.135897435897436,647.3333333333334,75,KFC,0.0,32.849656034615386,-96.7949778974359,32.849656034615386,-96.7949778974359,1,120.93397435897437
0,4.119871794871795,612.3397435897435,93,McDonald's,30.0,29.857766455769227,-98.20792809807692,29.857766455769227,-98.20792809807692,0,120.78092948717948
48,4.281640625,440.24609375,173,Dunkin,0.0,33.485866968359375,-117.82609041523438,33.485866968359375,-117.82609041523438,1,119.30732421875
34,3.9499999999999997,622.4736842105264,76,Subway,0.0,33.53266846842105,-112.05658098157895,33.53266846842105,-112.05658098157895,1,117.45855263157894
14,4.05103448275862,482.7241379310345,145,Starbucks,68.0,33.546269313103444,-112.0597483213793,33.546269313103444,-112.0597483213793,0,116.92137931034482
32,4.272955974842767,562.2893081761006,69,Burger King,0.0,33.31994752641509,-117.64648994465408,33.31994752641509,-117.64648994465408,1,106.41163522012577
35,4.332575757575757,441.3181818181818,118,KFC,0.0,37.57566093636363,-122.200336025,37.57566093636363,-122.200336025,1,102.9808712121212
67,4.199029126213592,604.0485436893204,28,Chipotle,0.0,41.85618283106796,-87.66829799126214,41.85618283106796,-87.66829799126214,1,100.35703883495145
37,4.0181818181818185,564.0909090909091,46,Subway,0.0,39.972525285454545,-75.14245253818181,39.972525285454545,-75.14245253818181,1,99.7181818181818
63,4.0826086956521745,599.9130434782609,23,Subway,0.0,39.67347785652174,-104.97173636521738,39.67347785652174,-104.97173636521738,1,98.20760869565217
36,3.8725,564.825,34,Panera Bread,0.0,39.7279486975,-104.94788663249999,39.7279486975,-104.94788663249999,1,96.19187500000001
33,4.022413793103448,505.4655172413793,58,Five Guys,0.0,32.86525673275862,-96.7827676637931,32.86525673275862,-96.7827676637931,1,94.52543103448276
55,4.29009009009009,421.0990990990991,98,Chipotle,0.0,33.517145129729734,-112.05793512882883,33.517145129729734,-112.05793512882883,1,93.93738738738737
61,4.1553571428571425,543.0535714285714,26,Chipotle,0.0,39.68803283392857,-104.94300770892858,39.68803283392857,-104.94300770892858,1,90.596875
41,4.08,548.3111111111111,21,Barnes & Noble,0.0,29.921954702222223,-98.19631300222223,29.921954702222223,-98.19631300222223,1,89.86666666666666
20,4.0,458.632183908046,58,Starbucks,36.0,39.716517470114944,-104.94864654827586,39.716517470114944,-104.94864654827586,0,87.19482758620688
26,4.020388349514564,460.5728155339806,55,McDonald's,8.0,41.88735086990291,-87.71276831359224,41.88735086990291,-87.71276831359224,0,86.59101941747574
54,4.104166666666667,521.0833333333334,23,Dunkin,0.0,32.8489263875,-96.78529583333334,32.8489263875,-96.78529583333334,1,86.38854166666667
30,3.997260273972603,504.8493150684931,27,McDonald's,2.0,29.77045590821918,-95.50221350273972,29.77045590821918,-95.50221350273972,0,84.82671232876712
5,4.0,508.45454545454544,22,McDonald's,0.0,29.953011709090905,-90.11079369090909,29.953011709090905,-90.11079369090909,1,84.16818181818181
57,4.178571428571429,508.39285714285717,19,Nike,0.0,33.52195329642857,-112.07310667142858,33.52195329642857,-112.07310667142858,1,83.30357142857143
17,4.035555555555555,400.3851851851852,70,Starbucks,29.0,37.50273725481481,-122.1378518525926,37.50273725481481,-122.1378518525926,0,82.06666666666666
58,4.185344827586207,400.7844827586207,67,KFC,0.0,37.604066487931036,-122.21251122844828,37.604066487931036,-122.21251122844828,1,81.56400862068965
23,3.867857142857143,389.9642857142857,43,Starbucks,36.0,39.99855251607143,-75.13947439107143,39.99855251607143,-75.13947439107143,0,72.36160714285714
44,3.989189189189189,408.86486486486484,23,Whole Foods,0.0,29.763297381081077,-95.44755190810811,29.763297381081077,-95.44755190810811,1,69.52702702702702
51,4.108196721311475,360.0655737704918,44,Zara,0.0,33.53525774754099,-117.8449041327869,33.53525774754099,-117.8449041327869,1,68.53688524590164
69,4.086363636363637,417.54545454545456,15,Tim Hortons,0.0,41.88894521818182,-87.70323425,41.88894521818182,-87.70323425,1,68.45340909090909
64,4.248051948051948,308.75324675324674,42,Dunkin,0.0,39.99618237142857,-75.09132574285714,39.99618237142857,-75.09132574285714,1,60.27499999999999
66,4.12,297.4,10,Dunkin,0.0,39.967222680000006,-75.11686562999999,39.967222680000006,-75.11686562999999,1,48.93999999999999
60,4.085714285714286,228.78571428571428,28,Chipotle,0.0,37.50929265714286,-122.11204895357142,37.50929265714286,-122.11204895357142,1,44.03928571428571
